user,text,created_at
Atiq_Tam,"RT @RedWineMalbec_: Elektabilitas Ganjar Pranowo semakin tidak terbendung, terus melambung, kian membumbung ✊

#GanjarHebat 
#GanjarPilihan…",2022-11-30 01:21:43+00:00
umam_chaerul,"RT @ferizandra: @panca66 Di depan Prabowo : Saya ini udah 2x... kali ini giliran Pak Prabowo...

Di depan Ganjar : Orang yang rambutnya put…",2022-11-30 01:21:26+00:00
hadycrbn,"RT @seanC37866888: INGIN MISKIN ATAU KAYA?

Yang ingin miskin, sila pilih Ganjar Pranowo. 

Yang ingin kaya, sila pilih Anies Baswedan.

#J…",2022-11-30 01:21:25+00:00
RexyChristian1,"RT @ChusnulCh__: Tanpa DP, tanpa angsuran, tanpa bermasalah di KPK, dan tanpa kata2 manies menipu demi menang Pilkada.

Bahagianya Warga Ja…",2022-11-30 01:21:04+00:00
gindoduri,"RT @ArdhaniFariz: Inilah yg Terjadi sekarang Bro
SURVEI yg Terbaru Bulan ini
Padahal Baru satu MESIN Bro
ANIES Benar2 TANCAP GAS
MAJU Meles…",2022-11-30 01:20:57+00:00
Iseng57185173,"RT @Y07d1_40s1H: DI DEPAN PRABOWO DIA BILANG 2024 JATAH Y PRABOWO..

DI DEPAN GANJAR DIA BILANG PILIHLAH PEMIMPIN YANG RAMBUT Y PUTIH..

DI…",2022-11-30 01:20:54+00:00
ChannelBobotoh,"RT @VIVAcoid: Charta Politika: Elektabilitas Ganjar Teratas, Kalahkan Anies dan Prabowo https://t.co/Mzonk7JTEl",2022-11-30 01:20:39+00:00
Hasanudin,"RT @Mi9aWempy: 🤭🤭
Saat kadrun ² masih ribet 
cari sponsor demi, 
Demi nasbung berkaret 2..

. 
.. 
Jateng sudah sampai metaverse, 
Hebat Pa…",2022-11-30 01:20:38+00:00
H4l1mun_D1n61n,"RT @VIVAcoid: Charta Politika: Elektabilitas Ganjar Teratas, Kalahkan Anies dan Prabowo https://t.co/Mzonk7JTEl",2022-11-30 01:20:31+00:00
03__nakula,"Jangan sampai kita terbawa suasana hujan yang mengguyur.

Gimanapun, Indonesia harus Bersinar bersama Ganjar Pranow… https://t.co/YPrnsiP96i",2022-11-30 01:20:29+00:00
ZaemKribo,"@msaid_didu @ganjarpranowo harusnya mikir 
Ngatasin Jawa tengah dulu sampai makmur
Jangan ngotot maju calon preside… https://t.co/QeBDHc0z0u",2022-11-30 01:20:24+00:00
